,Share,Sector,Cap Category,Last Traded Price,High Price,Low Price,Yearly,Q1,Q2,Q3,Category
77,RML,AUTO-AUTOMOBILES AND AUTO PARTS,MiniCap,474.7,498.0,467.5,11.42,2.88,3.72,2.53,YES
79,MAJESCO,IT,,364.6,388.9,365.5,2.8,2.92,-0.86,0.58,YES
80,SADBHAV,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,MidCap,338.25,350.0,340.05,-2.73,1.59,2.37,2.84,YES
81,RUCHIRA,PAPER,MiniCap,168.6,171.7,167.1,8.68,2.42,1.8,3.23,YES
82,HEROMOTOCO,AUTO-AUTOMOBILES AND AUTO PARTS,LargeCap,3323.85,3432.75,3295.15,154.93,39.72,41.8,44.22,YES
83,PHOENIXLTD,REALTY,MidCap,412.3,433.4,411.8,5.41,2.14,-0.12,2.81,YES
84,SANWARIA,FMCG-FOOD,MiniCap,15.4,15.85,15.2,0.45,0.2,-0.22,0.31,YES
85,INDTERRAIN,TEXTILES AND APPAREL,MiniCap,205.9,209.1,207.1,9.16,2.52,1.88,0.94,NO
86,HINDPETRO,ENERGY-OIL & GAS,LargeCap,529.2,533.9,523.55,145.34,10.25,45.86,61.97,YES
87,FLFL,TEXTILES AND APPAREL,MidCap,293.25,297.0,291.25,1.55,1.04,0.28,0.19,NO
88,CANTABIL,TEXTILES AND APPAREL,MiniCap,78.25,82.9,78.05,3.11,1.49,0.31,0.46,YES
89,BRITANNIA,FMCG-FOOD,LargeCap,3711.3,3744.0,3685.2,68.94,17.57,16.53,18.38,NO
90,CENTENKA,AUTO-AUTO ANCL AND COMPONENTS,MiniCap,430.5,432.45,418.2,27.21,6.93,8.94,10.3,YES
91,MMFL,INFRA-MACHINERY EQUIPMENT,MiniCap,637.35,643.0,630.05,41.5,10.86,9.09,8.66,YES
92,KESORAMIND,DIVERSIFIED,SmallCap,144.65,147.0,145.0,12.49,-24.97,61.42,0.57,NO
93,GABRIEL,AUTO-AUTO ANCL AND COMPONENTS,SmallCap,130.55,132.0,129.05,5.24,1.22,1.46,1.35,YES
94,JINDALSAW,METALS AND MINING,SmallCap,80.25,81.7,80.15,-0.09,1.71,3.32,2.06,YES
95,JUBILANT,PHARMA,MidCap,785.85,787.9,774.5,27.09,7.34,4.44,10.15,YES
96,AJANTPHARM,PHARMA,MidCap,1598.35,1611.75,1578.05,45.61,11.74,15.42,11.35,YES
97,GAL,METALS AND MINING,MiniCap,10.05,10.3,10.05,-8.42,-1.4,-7.36,-1.82,NO
98,ATULAUTO,AUTO-AUTOMOBILES AND AUTO PARTS,MiniCap,420.85,432.45,420.55,21.6,7.28,4.94,2.28,YES
99,KANSAINER,REALTY-HOUSEHOLD,LargeCap,405.8,408.8,404.25,6.64,1.57,1.49,2.35,YES
100,UBL,FMCG-BEVERAGES,LargeCap,803.85,858.6,795.15,11.16,2.7,1.98,5.56,NO
101,HEXAWARE,IT,MidCap,249.05,256.3,248.05,0,3.27,2.77,3.29,YES
102,GOKULAGRO,FMCG-FOOD,MiniCap,31.3,31.5,30.4,0.71,0,0,0.27,YES
103,ICICIPRULI,FINANCIAL SERVICES-NBFC,LargeCap,410.8,418.0,405.1,11.51,0,0,0,YES
104,ANSALHSG,REALTY,MiniCap,32.55,34.05,32.6,2.17,0.8,0.5,0.43,YES
105,INDIAGLYCO,CHEMICALS,MiniCap,184.0,185.45,178.55,-15.86,-8.29,-5.68,2.52,NO
106,PRISMCEM,CEMENTS,MidCap,121.8,122.8,120.8,0.07,-0.24,1.23,0.31,NO
