,Share,Sector,Cap Category,Last Traded Price,High Price,Low Price,Yearly,Q1,Q2,Q3,Category
86,GODFRYPHLP,FMCG-FOOD,MidCap,1202.25,1298.0,1201.8,31.27,2.64,9.18,4.3,YES
87,BANKBARODA,BANKS-PSU,LargeCap,185.55,190.5,185.8,-22.44,-14.5,-14.02,1.84,NO
88,DISHMAN,PHARMA,MidCap,310.4,316.0,307.15,21.2,5.82,6.17,2.82,YES
89,NCLIND,CEMENTS,MiniCap,215.1,217.5,213.5,14.45,1.68,3.16,2.49,NO
90,JAGRAN,MEDIA,MidCap,197.4,197.5,193.3,10.12,2.13,1.86,2.26,YES
91,SUPREMEIND,REALTY-HOUSEHOLD,LargeCap,1189.5,1204.75,1170.0,18.02,6.47,9.04,11.99,YES
92,GMRINFRA,CEMENTS,MidCap,17.0,17.15,16.6,-3.82,0.07,-2.52,-0.2,NO
93,CCL,FMCG-BEVERAGES,SmallCap,340.0,342.05,337.0,9.18,1.95,2.76,3.03,YES
94,ASSAMCO,FMCG-BEVERAGES,MiniCap,7.15,7.3,7.1,-1.95,0.89,-2.03,-0.65,NO
95,RELINFRA,INFRA-POWER,LargeCap,594.6,602.9,586.2,75.08,9.56,25.09,16.69,NO
96,TATAMOTORS,AUTO-AUTOMOBILES AND AUTO PARTS,LargeCap,432.3,434.5,427.0,32.6,8.62,15.23,6.57,NO
97,MGL,ENERGY-OIL & GAS,MidCap,1007.95,1014.4,997.15,31.36,0,8.56,9.39,YES
98,POLYPLEX,FMCG-PACKAGING,SmallCap,480.5,484.4,475.65,9.08,-1.25,19.61,15.23,YES
99,AVTNPL,FMCG-FOOD,MiniCap,47.95,50.0,48.0,1.42,0.36,0.38,0.43,YES
100,FRETAIL,FMCG,LargeCap,351.7,361.0,344.0,0.66,1.65,0,0,YES
101,SHAKTIPUMP,INFRA-MACHINERY EQUIPMENT,MiniCap,268.7,274.0,266.8,0.58,-2.28,0.12,0.76,YES
102,HSCL,CHEMICALS,SmallCap,62.4,63.3,60.2,-0.42,0.15,0.3,0.28,YES
